Author - Name,Author - Surname,2nd Author - Name,2nd Author - Surname,Title,Publishing House,Series,Year,City,Genre,Focus
Oya,Baydar,Melek,Ulagay,Bir Dönem İki Kadın: Birbirimizin Aynasında,Can Yayınları,Anlatı Dizisi ,2011,Istanbul,,Parts
Faik,Bulut,,,Filistin Rüyası - İsrail Zindanlarında 7 Yıl,Berfin Yayınları,Anı-Biyografi Dizisi,1996,Istanbul,Memoir,On Topıc
Çandar,Cengiz,,,Mezopotamya Ekspresi Bir Tarih Yolculuğu (Türkiye-Kürtler-Ortadoğu-Batı),lletişim Yayıncılık,,2012,Istanbul,,Parts
Oktay,Duman,,,Devrimcilerin Filistin Günlüğü. 1968-1975,Ayrıntı Yayınları,Yakın Tarih Dizisi,2015,Istanbul,,On Topıc
Oktay,Duman,,,Devrimcilerin Filistin Günlüğü 2. 1976-1985,Ayrıntı Yayınları,Yakın Tarih Dizisi,2017,Istanbul,,On Topıc
Turhan,Feyizoğlu,,,Denizler ve Filistin,Alfa Yayıncılık,,2011,Istanbul,,On Topıc
Cüneyt,Kafkas,,,Filistin Günlüğü,A Yayınları,Anı-Roman Dizisi,1990,Istanbul,Memoir,On Topıc
Yaşar,Küpeli,,,Filistin'de İki Resim. Özgürlüğüm Esaretim ve Aşkım,Nitelik Kitap,,2015,Ankara,Memoir,On Topıc
Hasan,Mantıcı,,,Filistin Güncesi. Türkiye Devrimcilerinin Enternasyonalist Mücadelesi,Ozan Yayıncılık,Anı Dizisi,2014,Istanbul,Memoir,On Topıc
Adil,Okay,,,12 Eylül Ve Filistin Günlüğü ,Ütopya Yayınevi,,2008,Ankara,Memoir,On Topıc
Abdulkadir,Yaşargün ,,,Filistin Fedaileri. Gaziantep'ten Filistin'e Bir Dostluk ve Mücadele Öyküsü,Ozan Yayıncılık,,2005,Istanbul,Memoir,On Topıc
Yılmaz,Çetiner,,,El Fateh,May Yayınları,,1970,Istanbul,,On Topıc
Nayef,Hawatmeh,,,Filistin’de Halk Savaşı ve Ortadoğu,Ant Yayınları,Ortadoğu Devrimci Çemberi,1970,Istanbul,,On Topıc
Çandar,Cengiz,,,Direnen Filistin,May Yayınları,,1976,Istanbul,,
,,,,Filistin sorunu ve Filistin Halk Kurtuluş Cephesi FHKC,Devrimci Sol,,1979,Istanbul,,
Eric,Rouleau,,,Vatansız Filistinli Ebu İyad: Filistin Gizli Servisleri Sorumlusu,Hür Yayın,,1979,,,
