Published On;Vol.;#;Month;Year;Section;Kicker;Title;Author(s)
(Kırmızı) Aydınlık;;1;November;1968;;Aydınlık görüşlerini açıklıyor;Dünya Türkiye ve Devrimci Mücadele;Aydınlık Dergisi Kurucuları
(Kırmızı) Aydınlık;;1;November;1968;Aydınlık'ta dünya ve Türkiye;;Ortadoğu ve El Fetih;
(Kırmızı) Aydınlık;;3;January;1969;Aydınlık'ta dünya ve Türkiye;;Ortadoğu'da;
(Kırmızı) Aydınlık;;3;January;1969;;;Filistin Araplarının Millî Kurtuluş Savaşı;Erdoğan Güçbilmez
(Kırmızı) Aydınlık;;4;February;1969;Aydınlık'ta dünya ve Türkiye;;Arap Halklarının Millî-demokratik Devrimi Artık Yeni ve Güçlü bir Aşamaya Girmiştir;
(Kırmızı) Aydınlık;;4;February;1969;Aydınlık'ta dünya ve Türkiye;;Beyrut Baskını ve Sonrası;
(Kırmızı) Aydınlık;;4;February;1969;Aydınlık'ta dünya ve Türkiye;;Fransa İsrail'e Askeri Yardımı Kesti;
(Kırmızı) Aydınlık;;4;February;1969;Aydınlık'ta dünya ve Türkiye;;Soviet Barış Planı;
(Kırmızı) Aydınlık;;6;April;1969;Aydınlık'ta dünya ve Türkiye;;Yaklaşan Zirve;
(Kırmızı) Aydınlık;;17;March;1970;Aydınlık'ta dünya ve Türkiye;;El Fetihe Katılan Gençlerin Bildirisi;Teoman Ermete, Ercan Enç, Hüseyin İnan, Atillâ Keskin, Kadir Manga, Müfit Özdeş, Alpaslan Özdoğru, Tuncer Sümer, Hamit Yakup, Ali Tenk, B. (Bahtiyar) Emanet
(Kırmızı) Aydınlık;;19;May;1970;;;Orta Doğuda Fedayi Harekatı ve FiIistin Demokratik Halk Kurtuluş Cephesi;A. Kerim
(Kırmızı) Aydınlık;;21;July;1970;Aydınlık'ta dünya ve Türkiye;Ortadoğu'da;Ürdün;
(Kırmızı) Aydınlık;;23;September;1970;Aydınlık'ta dünya ve Türkiye;Orta Doğu;Yürütülen Pazarlıklar;
(Kırmızı) Aydınlık;;24;October;1970;Aydınlık'ta dünya ve Türkiye;;Yaşasın Filistin ve Bütün Orta-Doğu Halklarının Devrimci Savaşı;
