URL,Day,Month,Year,Magazine,,Vol.,#,Section,Kicker,Title,Translator (if any),Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Author 11
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,11,1968,Aydınlık,Sosyalist Dergi,-,1,,Aydınlık Görüşlerini Açıklıyor,Dünya Türkiye ve Devrimci Mücadele,,Aydınlık Dergisi Kurucuları,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,11,1968,Aydınlık,Sosyalist Dergi,-,1,Aydınlık'ta Dünya ve Türkiye,,Ortadoğu ve El Fetih,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus-yolu/,1,12,1968,Kurtuluş Yolu,Halk Gazetesi,1,1,Dünya'da,Halklar Kurtuluş Yolunda,Arap-İsrail Çatışması,,Minu İnkaya,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus-yolu/,15,12,1968,Kurtuluş Yolu,Halk Gazetesi,1,2,Dünya'da,Halklar Kurtuluş Yolunda,Mısırda Karışıklık,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus-yolu/,15,12,1968,Kurtuluş Yolu,Halk Gazetesi,1,2,Dünya'da,Halklar Kurtuluş Yolunda,Ürdün,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus-yolu/,1,1,1969,Kurtuluş Yolu,Halk Gazetesi,1,3,Dünya'da,Halklar Kurtuluş Yolunda,Ürdün,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,1,1969,Aydınlık,Sosyalist Dergi,-,3,Aydınlık'ta Dünya ve Türkiye,,Ortadoğu'da,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,1,1969,Aydınlık,Sosyalist Dergi,-,3,,,Filistin Araplarının Millî Kurtuluş Savaşı,,Erdoğan Güçbilmez,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,2,1969,Aydınlık,Sosyalist Dergi,-,4,Aydınlık'ta Dünya ve Türkiye,,Arap Halklarının Millî-Demokratik Devrimi Artık Yeni ve Güçlü bir Aşamaya Girmiştir,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,2,1969,Aydınlık,Sosyalist Dergi,-,4,Aydınlık'ta Dünya ve Türkiye,,Beyrut Baskını ve Sonrası,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,2,1969,Aydınlık,Sosyalist Dergi,-,4,Aydınlık'ta Dünya ve Türkiye,,Fransa İsrail'e Askeri Yardımı Kesti,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,2,1969,Aydınlık,Sosyalist Dergi,-,4,Aydınlık'ta Dünya ve Türkiye,,Soviet Barış Planı,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,4,1969,Aydınlık,Sosyalist Dergi,-,6,Aydınlık'ta Dünya ve Türkiye,,Yaklaşan Zirve,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,3,1970,Aydınlık,Sosyalist Dergi,-,17,Aydınlık'ta Dünya ve Türkiye,,El Fetihe Katılan Gençlerin Bildirisi,,Teoman Ermete, Ercan Enç, Hüseyin İnan, Atillâ Keskin, Kadir Manga, Müfit Özdeş, Alpaslan Özdoğru, Tuncer Sümer, Hamit Yakup, Ali Tenk, B. (Bahtiyar) Emanet
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,3,1970,Proleter Devrimci Aydınlık,,-,3-17,Aydınlık'ta Dünya ve Türkiye,,Proletaryanın Devrimci Partilerinin Önderliğinde Dünya Halklarının Mücadeleleri Hızla Gelişiyor,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,5,1970,Aydınlık Sosyalist Dergi,Sosyalist Dergi,-,19,,,Orta Doğuda Fedayi Harekatı ve FiIistin Demokratik Halk Kurtuluş Cephesi,,A. Kerim,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus-yolu/,5,6,1970,Kurtuluş Yolu,,2,9,,,Emperyalizmin ve Kapitalizm Mutlaka Yok Edilecektir,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/ant-dergisi/,-,6,1970,Ant (Aylık),,-,175-2,,Hazıran Savaşının Yıldönümünde,Küçük Burjuvazinin Hezimeti ve Filistin Halk Savaşı,Mehmet Emin Bozarslan,Nayif Havatme,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,7,1970,Aydınlık,Sosyalist Dergi,-,21,Aydınlık'ta Dünya ve Türkiye,Ortadoğu'da,Ürdün,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus/,-,8,1970,Kurtuluş,,1,4,,,Halk Savaşı,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,9,1970,Aydınlık,Sosyalist Dergi,-,23,Aydınlık'ta Dünya ve Türkiye,Orta Doğu,Yürütülen Pazarlıklar,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,9,1970,Proleter Devrimci Aydınlık,,-,9-23,,,Arap Halklarının Kurtuluş Mücadelesini Hiçbir Güç Durduramıyacaktır,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/disk-dergisi/,1,10,1970,DİSK,,1,3,,Ürdün'de halk savaşı,Uyanan Arap halkları emperyalizmi mutlaka yenilgiye uğratacaktır ,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,10,1970,Aydınlık,Sosyalist Dergi,-,24,Aydınlık'ta Dünya ve Türkiye,,Yaşasın Filistin ve Bütün Orta-Doğu Halklarının Devrimci Savaşı,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,10,1970,Proleter Devrimci Aydınlık,,-,10-24,Aydınlık'ta Dünya ve Türkiye,,Filistin İhtilalini Kimse Durduramaz!,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,10,1970,Proleter Devrimci Aydınlık,,-,10-24,Aydınlık'ta Dünya ve Türkiye,,Filistin İkinci Dünya Kongresi,,,,,,,,,,,,
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/,-,10,1970,Proleter Devrimci Aydınlık,,-,10-24,Aydınlık'ta Dünya ve Türkiye,,Fateh Bazı 'Büyük' Devletlerin Filistin Devrimini Boğma Tertibini Lanetliyor,,,,,,,,,,,,
